# '-z --flow-network /tmp/a29788-infomap.net /tmp' -> 300 nodes partitioned in 0s from codelength 7.191234930 in one level to codelength 7.191234930 in 2 levels.
# path flow name node:
1:1 0.0439377 "precision_recall-future_work-results_obtained-total_number-recall_precision-" 36
1:2 0.0364384 "gold_standard-state_art-previous_work-future_work-related_work-" 146
1:3 0.034782 "natural_language-language_processing-computational_linguistics-point_view-international_conference-" 198
1:4 0.0221918 "word_word-function_words-number_words-words_words-part_speech-" 67
1:5 0.0219411 "experimental_results-proposed_method-results_show-natural_language-language_processing-" 59
1:6 0.0184379 "natural_language-system_system-system_performance-system_architecture-system_developed-" 284
1:7 0.0182782 "noun_phrase-syntactic_structure-np_np-phrase_structure-syntactic_semantic-" 164
1:8 0.0180578 "training_data-training_set-test_set-data_set-test_data-" 204
1:9 0.0178589 "training_data-shared_task-test_set-test_data-development_set-" 294
1:10 0.0174673 "model_model-model_trained-baseline_model-model_section-models_trained-" 256
1:11 0.0171297 "feature_set-maximum_entropy-set_features-feature_selection-feature_sets-" 191
1:12 0.0164819 "time_complexity-dynamic_programming-worst_case-search_space-algorithm_section-" 147
1:13 0.0150856 "sentence_level-number_sentences-words_sentence-set_sentences-sentence_sentence-" 32
1:14 0.0141674 "point_view-lexical_items-world_knowledge-semantic_pragmatic-conceptual_structure-" 133
1:15 0.0138123 "mutual_information-word_pairs-window_size-target_word-word_pair-" 236
1:16 0.012583 "machine_learning-support_vector-naive_bayes-cross_validation-classification_task-" 208
1:17 0.0119128 "probability_distribution-maximum_likelihood-conditional_probability-em_algorithm-hidden_markov-" 38
1:18 0.0114945 "human_judges-gold_standard-correlation_coefficient-evaluation_measures-human_evaluation-" 49
1:19 0.0113154 "language_specific-language_independent-languages_english-english_german-english_spanish-" 162
1:20 0.0108556 "million_words-low_frequency-high_frequency-corpus_size-brown_corpus-" 105
1:21 0.010634 "part_speech-pos_tags-pos_tagging-pos_tag-speech_tagging-" 103
1:22 0.0105017 "semantic_representation-logical_form-natural_language-semantic_representations-semantic_information-" 173
1:23 0.0102965 "root_node-parse_tree-tree_structure-node_tree-node_node-" 225
1:24 0.0100392 "set_rules-rules_applied-rule_set-hand_side-rules_rules-" 118
1:25 0.00950028 "open_source-http_www-language_resources-nlp_tools-language_processing-" 125
1:26 0.00918556 "user_interface-user_model-system_user-user_input-information_user-" 129
1:27 0.00894281 "machine_translation-target_language-source_language-translation_system-mt_system-" 10
1:28 0.00871626 "tf_idf-number_documents-document_frequency-document_level-information_retrieval-" 245
1:29 0.0087048 "parse_tree-parse_trees-penn_treebank-parsing_model-eugene_charniak-" 271
1:30 0.00861505 "conditional_random-log_linear-objective_function-random_fields-loss_function-" 170
1:31 0.00840373 "semantic_relations-syntactic_patterns-information_extraction-semantic_relation-pattern_matching-" 244
1:32 0.00840116 "noun_phrases-noun_phrase-noun_noun-head_noun-proper_nouns-" 19
1:33 0.00814259 "inter_annotator-annotator_agreement-annotation_scheme-annotated_corpus-gold_standard-" 12
1:34 0.0081161 "computational_linguistics-finite_set-natural_languages-phrase_structure-expressive_power-" 203
1:35 0.00732042 "named_entity-named_entities-entity_recognition-information_extraction-person_names-" 31
1:36 0.00731647 "context_free-free_grammar-free_grammars-hand_side-grammar_rules-" 139
1:37 0.00714606 "lexical_entries-lexical_items-lexical_entry-machine_readable-dictionary_entries-" 88
1:38 0.00706185 "semantic_similarity-similarity_measure-similarity_measures-semantic_relatedness-word_similarity-" 148
1:39 0.00700077 "direct_object-argument_structure-thematic_roles-subject_object-verb_classes-" 267
1:40 0.00693138 "machine_translation-statistical_machine-language_model-bleu_score-translation_model-" 33
1:41 0.00663347 "parsing_algorithm-left_corner-shift_reduce-chart_parsing-parsing_process-" 86
1:42 0.00611712 "language_model-language_models-language_modeling-gram_model-gram_language-" 260
1:43 0.00596589 "knowledge_base-domain_knowledge-knowledge_representation-knowledge_sources-knowledge_bases-" 253
1:44 0.00582712 "dependency_tree-dependency_trees-dependency_relations-dependency_structure-dependency_structures-" 158
1:45 0.00574033 "computational_linguistics-computer_science-language_processing-language_technology-natural_language-" 275
1:46 0.00563695 "word_alignment-machine_translation-della_pietra-statistical_machine-word_alignments-" 136
